,id,centroid
0,E12000001,POINT (-1.905416023775942 55.01996537696989)
1,E12000002,POINT (-2.723198763300704 54.0565405820666)
2,E12000003,POINT (-1.229684349202576 53.96550689063676)
3,E12000004,POINT (-0.8056317083673057 52.92687321130552)
4,E12000005,POINT (-2.270822281605636 52.48031635147623)
5,E12000006,POINT (0.5391120229726339 52.25112720430162)
6,E12000007,POINT (-0.1110575105808903 51.50059566483052)
7,E12000008,POINT (-0.5339793185931326 51.28108300426047)
8,E12000009,POINT (-3.130347375749214 51.00133721589011)
